ds,yhat,yhat_lower,yhat_upper
2022-05-05,197.79470082426457,168.20454502080074,227.64030302979415
2022-05-06,198.7960772958058,168.1777852965742,226.78467628326797
2022-05-07,196.15085146016114,167.8025815716606,223.64690968141159
2022-05-08,196.9592215317736,167.34144211173017,225.97246224139676
2022-05-09,196.14372649334857,166.59793146776946,223.7186122818883
2022-05-10,195.24916263516172,169.01913266825485,222.42214658481896
2022-05-11,197.69682197923404,168.48628442424797,224.07296767043414
2022-05-12,196.2095802075633,168.86271553550836,223.7903568109373
2022-05-13,197.21095667910524,166.85348656584327,224.6151089851592
2022-05-14,194.5657308434605,165.5229826374092,223.4596848667072
2022-05-15,195.3741009150774,165.80132395446387,223.8346454329873
2022-05-16,194.55860587664824,164.99699234144836,221.3107763832925
2022-05-17,193.66404201845256,165.22517998354445,222.4480773299154
2022-05-18,196.11170136252878,165.48720903853265,224.23796166838545
2022-05-19,194.62445959086128,166.98878022270537,224.57519367290283
2022-05-20,195.62583606240474,166.14782834237673,224.5325740363837
2022-05-21,192.98061022675438,161.75747040929224,220.91041786877938
2022-05-22,193.803381848031,165.17922776074633,223.54811192263958
2022-05-23,193.00228835925628,166.19434948542397,220.2167728730724
2022-05-24,192.12212605072756,165.34036620314382,220.65330074219233
2022-05-25,194.58418694445726,165.1093675398012,223.9868207362821
2022-05-26,193.1113467224453,163.44664082380342,221.57224863801966
2022-05-27,194.12712474364406,167.06972519639083,222.2724284442509
2022-05-28,191.4963004576587,162.25087983904032,218.33130832080417
2022-05-29,192.3190720789275,162.04028226362155,219.50864160905294
2022-05-30,191.517978590163,162.36706656946672,221.80333769017204
2022-05-31,190.63781628163082,164.5608942288917,219.88721344814147
2022-06-01,193.09987717535284,164.62538635965458,220.0575908706449
2022-06-02,191.62703695334272,161.632547665885,220.81849058186063
2022-06-03,192.6428149745473,162.2733403650093,219.1474757005407
2022-06-04,190.01199068855206,160.72157260254,217.19306242572515
2022-06-05,190.83476230981623,164.7449555390204,220.80073531626752
2022-06-06,190.03366882105453,161.37456550348492,220.17474452951885
2022-06-07,189.15350651252757,161.53526551942286,219.23558757132403
2022-06-08,191.6155674062565,165.00447525468786,222.8960045257853
2022-06-09,190.14272718424013,161.6714732099822,218.45835194453926
2022-06-10,191.1585052054411,163.55063997038573,219.8602626805879
2022-06-11,188.5276809194454,159.71071734610626,217.4777148157829
2022-06-12,189.35045254071946,160.03694371563225,219.4979827207908
2022-06-13,188.54935905195367,160.1927916992243,217.7358691479407
2022-06-14,187.90232365700822,160.8492330504267,218.58613019266804
2022-06-15,190.59751146431265,161.461999389025,217.9426791727621
2022-06-16,189.3577981558783,162.4147450866836,220.21079528018672
2022-06-17,190.60670309066103,164.10103646885585,219.35144067847014
2022-06-18,188.20900571824546,160.2154706560551,214.64244538804118
2022-06-19,189.26490425309748,159.92072150735916,218.2389781402297
2022-06-20,188.69693767791458,157.77498790105506,218.47945129237607
2022-06-21,188.04990228296032,158.82527075226895,217.18582592796744
2022-06-22,190.74509009027256,163.1596459835514,220.44269201974882
2022-06-23,189.50537678183824,160.44147771152439,218.25607650858726
2022-06-24,190.75428171661912,163.015283098349,220.62866546046916
2022-06-25,188.35658434420145,160.99471705032775,217.02101757796848
2022-06-26,189.41248287906245,160.1593725291462,217.86653198821753
2022-06-27,188.84451630387542,159.20305477955722,217.07914828920093
2022-06-28,188.19748090892523,158.51478745017505,218.8636000935194
2022-06-29,190.8926687162299,160.46564638472492,216.92843166012506
2022-06-30,189.65295540779815,160.56548254226456,218.22872025322891
2022-07-01,190.9018603425772,160.87156730579053,220.44315891298987
2022-07-02,188.50416297016744,159.74345892463597,219.13194630206186
2022-07-03,189.56006150501292,162.2242767409268,216.14169943914095
2022-07-04,188.99209492982862,159.51313062976817,218.22709829786612
2022-07-05,188.34505953488375,159.93391809395257,218.40795490751256
2022-07-06,191.04024734218726,160.4825159864947,220.85293513786826
2022-07-07,189.80053403375808,158.55082855066095,216.27730100273703
2022-07-08,191.16238202889193,159.84331909897722,216.16309684213553
2022-07-09,188.87762771684126,161.1213975497326,217.56068098948737
2022-07-10,190.04646931204783,162.38066264289634,220.45615396713475
2022-07-11,189.59144579721794,157.73932489728438,217.9546938960757
2022-07-12,189.0573534626255,159.34110464501308,219.06280958442264
2022-07-13,191.86548433029256,161.9088177591665,220.57339038782965
2022-07-14,190.73871408221297,160.76092269944223,220.5420039575873
2022-07-15,192.10056207734917,162.8613853944499,222.07890730591896
2022-07-16,189.81580776529924,162.43432701101418,218.1318755356925
2022-07-17,190.98464936050934,162.5899634424305,219.3958387019191
2022-07-18,190.5296258456678,161.40673017842013,219.23199616201208
2022-07-19,189.99553351107772,157.3405881058365,218.36160161006921
2022-07-20,192.80366437874645,163.6327033788686,220.36752427608593
2022-07-21,191.6768941306695,161.56888624355608,220.20413722250797
2022-07-22,193.03874212580814,164.53599378417795,221.23147967870995
2022-07-23,190.75398781375088,161.48151514282114,219.1869360074317
2022-07-24,191.92282940895637,162.65353629294773,219.6301010328757
2022-07-25,191.4678058941328,162.04978698851232,218.10036470969456
2022-07-26,190.9337135595328,161.122808500971,219.42559471009443
2022-07-27,193.74184442719894,164.07024117187203,222.96498785748173
2022-07-28,192.615074179126,163.53778717323377,222.09533019569403
2022-07-29,193.9769221742654,167.4896008509672,224.8582202922959
2022-07-30,191.692167862208,162.1956770983927,218.37934875442582
2022-07-31,192.86100947573598,165.11709820358055,221.4499217045324
2022-08-01,192.40598597921877,164.9958316047127,222.05526549719278
2022-08-02,191.8718936629421,162.60604245663984,220.98856423426392
2022-08-03,194.68002454892513,165.36243801789257,222.2385586104493
2022-08-04,193.55325431917126,164.03223823165771,220.61428591937693
2022-08-05,194.91510233262332,167.03587109992353,223.95095130384183
2022-08-06,192.63034803889164,163.89157608064505,222.20985106588174
2022-08-07,193.79918965241734,164.05023567585033,223.58852268353246
2022-08-08,193.3441661558951,163.91983337526426,221.34838251604188
2022-08-09,192.81007383963018,163.7529328790133,220.91454982367216
2022-08-10,195.61820472560962,165.3376029996157,225.35338184112467
2022-08-11,194.4914344958543,166.45245817406484,222.60082562346872
2022-08-12,195.8532825093114,167.27319943395867,226.55092422002446
2022-08-13,193.56852821557527,166.3909739264047,222.205042268281
2022-08-14,194.73736982910535,166.28022661355763,223.0553036381765
2022-08-15,194.28234633258666,165.10686934915952,223.11297925556713
2022-08-16,193.74825401630534,165.4487262898753,224.14117840290996
2022-08-17,196.55638490229407,168.06873112678912,224.54244410995992
2022-08-18,195.42961467253733,166.6452452938945,226.06906673088483
2022-08-19,196.7914626859926,168.9140724297054,224.58594515210285
2022-08-20,194.50670839225347,165.15291222275843,226.08529528751166
2022-08-21,195.6755500057862,167.03780965557075,223.87885620028476
2022-08-22,195.2205265092649,166.4383472027976,224.6396771991681
